Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
25.411110000001266,,,,,-0.412109375,0.349609375,-1.32421875,0.0001887406071243552,0.33432268537580967,11.186800003051758,-0.0576171875,4743,0,0.6445519533008337,0.0937399289359378,14.543424848204017,0,0,0.814453125,,
25.443960000000892,,,,,0.03125,-0.080078125,-1.033203125,0.00017157717623142525,0.3369641490280628,11.19022274017334,-0.0564236119389534,4650,0,0.6313927854019923,0.08354558223897247,13.23195072395087,0,0,0.828125,,
25.478324999999256,,,,,0.04296875,-0.078125,-0.90234375,0.00018577548692654818,0.3366847522556782,11.19360065460205,-0.0537109375,4564,0,0.6012187851592898,0.0887853134874605,14.767554786887985,0,0,0.83984375,,
25.514755000000818,,,,,-0.16015625,-0.046875,-0.822265625,0.0005633707326944662,0.3406102769076824,11.194182395935059,-0.06924715638160706,4465,0,0.7751652989355478,0.26343910842707324,33.98489442043216,0,0,0.86328125,,
25.54759500000067,,,,,-0.205078125,-0.009765625,-0.90625,0.0005417026057452218,0.3380196576472372,11.196924209594727,-0.057842548936605453,4364,0,0.6476586365329453,0.24755451997807196,38.222993721396826,0,0,0.8984375,,
25.579355000000447,,,,,-0.302734375,0.056640625,-0.935546875,0.0006041980154419955,0.3374996595084667,11.197599411010742,-0.0537109375,4271,0,0.6014335621148348,0.27026004692852845,44.93597696447248,0,0,0.90625,,
25.618009999999778,,,,,-0.03125,-0.134765625,-0.841796875,0.00044795955280147186,0.3384441661182791,11.199636459350586,-0.05237926170229912,4194,0,0.586628689074935,0.19672426836269785,33.53471659780495,0,0,0.912109375,,
25.699694999998435,,,,,-0.296875,0.296875,-1.3046875,0.00041215014553399226,0.3404760209377855,11.202154159545898,-0.05483774095773697,4114,0,0.6143008279698137,0.17757194921594693,28.90635029791506,0,0,0.91796875,,
25.727460000000892,,,,,-0.017578125,-0.04296875,-0.951171875,0.00027594249029553236,0.3408706688787788,11.202370643615723,-0.0553385429084301,3997,0,0.6199228685378664,0.11549249886785978,18.630140091501595,0,0,0.908203125,,
25.75134999999963,,,,,-0.15625,-0.0625,-0.994140625,0.0003055202759215608,0.3382082504685968,11.205333709716797,-0.0499131940305233,3889,0,0.5592939956298579,0.12441012222410339,22.244136929093425,0,0,0.900390625,,
25.794144999999553,,,,,0.03125,-0.041015625,-0.9375,0.00044887189474701876,0.3384309820830822,11.203001022338867,-0.047607421875,3846,0,0.5333459959365427,0.18079445854665677,33.898156154558926,0,0,0.8984375,,
25.82109499999881,,,,,-0.125,0.03125,-1.009765625,0.00015184778557431647,0.33892050851136446,11.20628833770752,-0.0474330373108387,3781,0,0.5315482928384974,0.06012899202403176,11.312046870273933,0,0,0.892578125,,
25.848445000000297,,,,,-0.0859375,0.0234375,-0.9140625,0.000247529585251119,0.3393227234482765,11.208000183105469,-0.0466579869389534,3725,0,0.5229427261551223,0.09654497242409663,18.46186352641956,0,0,0.8828125,,
25.879145000001415,,,,,-0.009765625,0.0078125,-1.029296875,0.0002427397936913185,0.3401888534426689,11.210000991821289,-0.0537109375,3683,0,0.6020996626466513,0.09362526737340306,15.549795686955578,0,0,0.87109375,,
25.90744000000134,,,,,-0.08203125,0.056640625,-1.103515625,0.0003932190799205066,0.3376238455530256,11.210545539855957,-0.046164773404598236,3641,0,0.5175322945893797,0.14994034105267376,28.972170938943894,0,0,0.85546875,,
25.933320000000297,,,,,0.01171875,0.046875,-0.9296875,0.0006632150670480913,0.33658347092568874,11.209333419799805,-0.0520833320915699,3601,0,0.5838194350285661,0.25009818192907257,42.83827617298066,0,0,0.83984375,,
25.959365000000222,,,,,-0.166015625,-0.021484375,-1.056640625,0.00047641319621587175,0.33737393096089363,11.210000991821289,-0.05126953125,3564,0,0.5747314961627126,0.1778135074285449,30.938535405793044,0,0,0.830078125,,
25.98757500000112,,,,,0.01171875,0.11328125,-1.05859375,0.0003210870984909125,0.3351829946041107,11.209333419799805,-0.05859375,3531,0,0.6567968800663948,0.11873848969587016,18.07841865568348,0,0,0.818359375,,
26.01291000000015,,,,,-0.15625,-0.0390625,-0.876953125,0.0004360420959261246,0.33339369110763073,11.210500717163086,-0.052490234375,3496,0,0.588441810104996,0.15961599819122974,27.125196655001343,0,0,0.806640625,,
26.045740000000222,,,,,-0.099609375,0.001953125,-1.029296875,0.0003024411242045462,0.33379998058080673,11.210000991821289,-0.047607421875,3465,0,0.5336792464368045,0.10975183069593791,20.565129978112076,0,0,0.802734375,,
26.07853000000119,,,,,0.052734375,-0.015625,-0.99609375,0.0004534336065629369,0.3375392407178879,11.212000846862793,-0.05681818351149559,3435,0,0.6370455216480941,0.16312270573228022,25.606130204049954,0,0,0.7890625,,
26.105974999999628,,,,,-0.03515625,-0.017578125,-1.123046875,0.0004259493208536878,0.3382982686161995,11.212000846862793,-0.05859375,3399,0,0.6569531746208668,0.15162847699616772,23.080560815262636,0,0,0.77734375,,
26.136104999998583,,,,,-0.099609375,-0.091796875,-0.865234375,0.0005145604647099972,0.3352249041199684,11.211555480957031,-0.0564236119389534,3367,0,0.6325964556895656,0.1814487342341245,28.683172756055868,0,0,0.76953125,,
26.164955000000074,,,,,-0.23046875,-0.166015625,-0.7578125,0.0005015596019048244,0.3377010580152273,11.213201522827148,-0.0595703125,3337,0,0.6679739188402891,0.1752897647666159,26.242007333302368,0,0,0.75390625,,
26.198710000000894,,,,,-0.0625,-0.01171875,-0.93359375,0.0005321800550906918,0.33427029848098755,11.212444305419922,-0.0531684011220932,3310,0,0.5961477363896961,0.18445002220631393,30.940320821035662,0,0,0.736328125,,
26.230240000000222,,,,,-0.103515625,-0.076171875,-1.03125,0.00037041055007548364,0.3341049887239933,11.213456153869629,-0.051491476595401764,3280,0,0.5773974151005419,0.12723422277397906,22.035814405546624,0,0,0.720703125,,
