Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1647,,,,-0.16796875,0.162109375,-1.095703125,0.05672211035075321,-1.2014701416904014,9.25104808807373,5.012393055222929,6044,0,46.36988919019412,35.90142887944557,77.42401266517945,0.03346580287165874,0.025910567453857048,1.080078125,,
0,1647,,,,-0.26171875,0.259765625,-1.25390625,0.05583006620229933,-1.1863859244556643,9.252705574035645,5.0055542566999796,6043,0,46.314919772105746,35.33261470213691,76.2877597024724,0.033577643048984765,0.025615631642963425,1.064453125,,
0.1349600000027567,1647,,,,-0.125,0.046875,-0.904296875,0.055690000180048986,-1.18828801348318,9.251999855041504,5.012974319718778,6043,0,46.38003767936492,35.24065666384024,75.9823804100083,0.033719235847908,0.02562067805330535,1.052734375,,
0.055650000000372526,1647,,,,0.0625,0.0546875,-0.994140625,0.055125106814939734,-1.1911282343775724,9.250666618347168,5.013381061814726,6042,0,46.377116833583365,34.87664960414928,75.2022807482802,0.03415259917156331,0.025683533511833855,1.06640625,,
0.17032500000111758,1647,,,,0.03125,-0.01953125,-0.875,0.05597759334371239,-1.1854539682025131,9.251407623291016,5.0212026217207315,6041,0,46.45319221267601,35.41157203441163,76.23065358412252,0.033476456991249466,0.025519321961237143,1.04296875,,
0.20956000000238417,1647,,,,-0.0703125,-0.001953125,-0.869140625,0.055920333884489096,-1.1483104587395747,9.251666069030762,5.061395225785673,6039,0,46.8263384723556,35.36181524561031,75.51693427084099,0.03247317624290008,0.02452274715900521,1.037109375,,
0.2376900000013411,1647,,,,-0.08203125,0.1171875,-1.087890625,0.05659318350478269,-1.178477208950761,9.25,5.019891319535673,6041,0,46.433994705704976,35.80284818944059,77.1048203290633,0.03291573906956184,0.025379621469568948,1.044921875,,
0.27615000000223516,1647,,,,-0.224609375,0.142578125,-1.05078125,0.05563013164206474,-1.172608691653057,9.25200080871582,4.988288936875761,6041,0,46.15165327808272,35.195037477015084,76.25953780019643,0.03331744404076443,0.02540772883232604,1.048828125,,
0.32420500000193714,1647,,,,-0.2421875,0.142578125,-1.244140625,0.05632918929160045,-1.213015732260313,9.251384735107422,5.041457233689726,6042,0,46.64046049445402,35.63931463753887,76.41287041275399,0.03403588830472751,0.02600779922412112,1.052734375,,
0.37262000000104306,1647,,,,0.13671875,0.078125,-0.970703125,0.05515626046968218,-1.1863241683184071,9.252999305725098,5.057021198533476,6042,0,46.792613639067355,34.89662120739193,74.57720031748043,0.03399538772731142,0.0253528084041012,1.0625,,
