Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1673,,,,-0.07421875,0.171875,-0.912109375,0.054134919507212165,-1.5634576701583234,8.72028636932373,5.008323726914823,5839,0,43.67401712897596,33.10210441705864,75.7935875678739,0.04723136784477728,0.0357983481469359,1.021484375,,
0,1673,,,,0.013671875,0.171875,-0.96484375,0.05443815652820688,-1.5717256940981768,8.72028636932373,4.963680801652372,5837,0,43.28471803632307,33.2735208424199,76.87128934165145,0.04723653086013091,0.03631133031244971,1.04296875,,
0.02205500000156462,1673,,,,-0.0625,-0.138671875,-1.34765625,0.053663372183451685,-1.5522180531775494,8.719429016113281,4.953566608689726,5839,0,43.19227242105906,32.81326083902206,75.9702117988667,0.04730459617508134,0.035937401904807896,1.037109375,,
0.07901500000059605,1673,,,,-0.349609375,0.2578125,-1.125,0.05385075863682438,-1.538575561038048,8.717143058776855,4.998209533952177,5837,0,43.57010754520352,32.91817551580368,75.55220165947819,0.04673939356995631,0.035312640884390574,1.037109375,,
0.11579000000096858,1673,,,,0.072265625,-0.0625,-0.841796875,0.05440120191982508,-1.5610547949995963,8.718527793884277,4.997254905961454,5836,0,43.5687057907495,33.24456226777943,76.3037635945521,0.04695669572742632,0.03582972609966852,1.048828125,,
0.15650000000186265,1673,,,,-0.125,0.1171875,-0.904296875,0.05435298424286886,-1.5651307000585586,8.71833324432373,4.977166710160673,5836,0,43.392597991735165,33.21540084017484,76.54623686394913,0.04712063261225181,0.03606907105116553,1.04296875,,
0.19325500000081958,1673,,,,-0.21875,0.244140625,-1.23828125,0.05384801849615995,-1.5628401087857535,8.718769073486328,4.979483185075224,5837,0,43.41496399597906,32.9158174145864,75.81675621713046,0.0474799118339134,0.03599772900722659,1.037109375,,
0.2276450000014156,1673,,,,0.109375,0.0234375,-0.759765625,0.053653524516380974,-1.6029327545124283,8.718667030334473,5.004836139939726,5837,0,43.635499845518936,32.79812367558708,75.16385464060455,0.04887269681544477,0.03673460279330428,1.052734375,,
0.26700000000186264,1673,,,,-0.267578125,0.1796875,-1.015625,0.052866729495523825,-1.5558487526288312,8.717001914978027,4.987746296189726,5837,0,43.4781940153104,32.31740129691137,74.33013727647273,0.048142755611278884,0.03578457633454037,1.05859375,,
0.31600999999977647,1673,,,,0.04296875,-0.115234375,-1.1015625,0.052833618815356205,-1.5858959205015106,8.719693183898926,5.01328712489456,5837,0,43.714325571871335,32.297068733285535,73.88211601294287,0.049103401104233266,0.0362786317701303,1.052734375,,
0.3493250000011176,1673,,,,-0.08984375,0.0859375,-0.908203125,0.05552850621755603,-1.5200880192210202,8.720470428466797,4.993490753434599,5836,0,43.545588450148806,33.9355383385231,77.93105925614638,0.0447933963521492,0.03490796825403391,1.052734375,,
