Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0,1187,,,,-0.005859375,0.138671875,-0.98046875,-0.007791637599279258,-2.2998883785594746,9.802934646606445,0.3227072336897254,4998,0,3.163477921847532,4.077873196841699,128.90474653479302,0.5639921271560704,0.7270126219867201,1.00390625,,
0,1187,,,,-0.0625,0.126953125,-0.982421875,-0.0076085361715133625,-2.2950713998534282,9.804000854492188,0.3139181711897254,4997,0,3.077654018584693,3.9817670082883683,129.37669355437964,0.5763952021994387,0.7457210544117148,1.00390625,,
0.06746499999985099,1187,,,,0.017578125,-0.009765625,-1.041015625,-0.0075941270427063385,-2.3028526731478105,9.80040168762207,0.3129416086897254,4999,0,3.0669534699299508,3.9756278014325517,129.62791383735453,0.5792425217265097,0.7508599969729595,0.99609375,,
0.032954999999143184,1187,,,,-0.224609375,0.05078125,-0.931640625,-0.007685109516689515,-2.298705467821288,9.80222225189209,0.3246603586897254,4998,0,3.182392992255694,4.0226599469938975,126.40362006775972,0.5714391716205325,0.7223197994135713,1.001953125,,
0.10522499999962748,1187,,,,-0.177734375,-0.068359375,-0.9375,-0.007333199741716354,-2.3235202066100107,9.799635887145996,0.32199701454490426,5000,0,3.155453499288115,3.839688575799524,121.68420725153375,0.6051324634123987,0.7363506409250548,0.99609375,,
0.13989499999955296,1187,,,,-0.1171875,0.20703125,-1.125,-0.007095946597004467,-2.300232528669825,9.80307674407959,0.33968439485877755,5000,0,3.329952191566831,3.715150330718307,111.5676777620711,0.6191492467076254,0.6907704364330542,1,,
0.173339999999851,1187,,,,0,0.111328125,-0.84375,-0.00703615092249162,-2.302875129924995,9.8021821975708,0.32377257730811837,5000,0,3.1736777933512537,3.683957650022986,116.0785022897016,0.6251090128331487,0.7256171797746576,0.998046875,,
0.22048499999940396,1187,,,,-0.103515625,-0.0234375,-0.9453125,-0.007505758172954418,-2.2778470517530205,9.801092147827148,0.3148947336897254,5000,0,3.086312301758489,3.929656179160091,127.32529293685184,0.5796555596474292,0.7380481393458372,1.001953125,,
0.25907499999925493,1187,,,,-0.23046875,0.08984375,-1.0078125,-0.007733648318541886,-2.2926067685574445,9.801751136779785,0.3173361399397254,5000,0,3.1104498703955126,4.049061368399149,130.17606896472137,0.5662069699535962,0.7370659756898527,0.998046875,,
0.300429999999702,1187,,,,0.0859375,-0.1171875,-0.98046875,-0.007687287395751346,-2.2922906894185746,9.801667213439941,0.3205913582071662,5000,0,3.1423298046513612,4.024953262934794,128.08818657344463,0.5695198278519018,0.7294876196717047,1,,
0.403875,1187,,,,-0.193359375,0.18359375,-1.048828125,-0.007245444154491378,-2.293954175188506,9.80114459991455,0.3218701758608222,5000,0,3.1546961360118444,3.79342496940873,120.24692096666922,0.6047184783375479,0.7271553507173959,1.005859375,,
0.43124999999906866,1187,,,,-0.068359375,0.060546875,-0.931640625,-0.007399414610177385,-2.2980497299275044,9.80308723449707,0.32214918520301583,4999,0,3.158056565067317,3.873658997102953,122.6595824771233,0.5932503949485949,0.7276784574878314,1.01171875,,
0.4745449999999255,1187,,,,-0.224609375,0.0234375,-1.1171875,-0.007153333851218641,-2.334584099309317,9.800444602966309,0.315979806445539,5000,0,3.0967425887255215,3.745466117833592,120.94857775618529,0.6233093628035966,0.753883809332091,1.009765625,,
0.5265649999994785,1187,,,,-0.0625,0.173828125,-0.94140625,-0.007802992223546036,-2.2860718463967946,9.801714897155762,0.31628981020301583,5000,0,3.100182544485469,4.085472116885525,131.78166312021418,0.5595612406576732,0.7373991091147858,1.009765625,,
0.5629049999993294,1187,,,,-0.095703125,0.15234375,-1.0078125,-0.008252998383221353,-2.2949815727446907,9.802000999450684,0.3197775461897254,4999,0,3.134459827353576,4.320548076429173,137.84027597753615,0.5311783440774571,0.7321776954092737,1.01171875,,
0.5994599999990314,1187,,,,0.080078125,-0.0390625,-0.921875,-0.008411017864302454,-2.291347504776831,9.80363655090332,0.32022145178169015,4999,0,3.1393347290703026,4.402854115163841,140.24799822692762,0.5204232174954915,0.7298831448455965,1.0078125,,
0.6292000000001863,1187,,,,-0.1640625,0.0625,-0.994140625,-0.006910506415649048,-2.2806653772896586,9.80100154876709,0.3157085457071662,4999,0,3.0942599454349415,3.6174118306409975,116.90717310217838,0.6304688224800574,0.7370632776520264,1.01171875,,
0.6589050000002608,1187,,,,-0.03125,0.12109375,-1.02734375,-0.006245547583439938,-2.2898878142598473,9.804400444030762,0.3148947336897254,5000,0,3.0873540668104926,3.27001092366043,105.91629119619046,0.7002691635343411,0.7416991264061599,1.013671875,,
0.6950249999994412,1187,,,,0.03125,0.130859375,-1.01171875,-0.00682150423056644,-2.2994504714043793,9.803112030029297,0.3170648792013526,4999,0,3.1082225315985657,3.5709780911214173,114.8881090339711,0.6439273534389757,0.7397959599185348,1.013671875,,
0.7348149999994784,1187,,,,-0.087890625,0.1171875,-1.115234375,-0.007026822625776514,-2.2856434833720027,9.8013334274292,0.31896373417228463,4999,0,3.1262699098804547,3.678579302306896,117.66672131158249,0.6213386461285854,0.7311088131412822,1.013671875,,
