Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,,,,,-0.0859375,-0.00390625,-0.97265625,0.00035877818243907234,0.1413724385201931,11.256667137145996,-0.0480143241584301,0,0,0.5404812648664752,0,0,0,0,0.1171875,,
0,,,,,-0.0859375,-0.015625,-0.966796875,0.0004522931744325906,0.1421279739588499,11.25422191619873,-0.0542534738779068,0,0,0.610580634746654,0,0,0,0,0.119140625,,
0.03245999999903142,,,,,-0.09375,0.00390625,-0.974609375,0.00040690419866279377,0.14342910435516387,11.25490951538086,-0.04527698829770088,0,0,0.5095884064195815,0,0,0,0,0.12109375,,
0.07587499999813735,,,,,-0.087890625,0,-0.994140625,0.00017653803177550436,0.14286022633314133,11.256799697875977,-0.0439453125,0,0,0.4946835804730654,0,0,0,0,0.12109375,,
0.10782000000029802,,,,,-0.0859375,-0.009765625,-0.978515625,0.0005917958536117803,0.14197372365742922,11.255998611450195,-0.057373046875,0,0,0.645790935959667,0,0,0,0,0.12109375,,
0.1387099999990314,,,,,-0.25,-0.005859375,-0.935546875,0.00022312445125888448,0.14277524314820766,11.254399299621582,-0.01953125,0,0,0.21981248632073402,0,0,0,0,0.12109375,,
0.17528999999910594,,,,,-0.03515625,-0.017578125,-0.98828125,0.00012288095647163103,0.1436402089893818,11.25160026550293,0.0927734375,0,0,1.0438496340066195,0,0,0,0,0.130859375,,
0.2084550000000745,,,,,-0.0703125,-0.009765625,-0.9921875,0.00029046664530504493,0.14570385974366218,11.251077651977539,0.11343149095773697,0,0,1.2762265129450867,0,0,0,0,0.13671875,,
0.235820000000298,,,,,-0.025390625,-0.02734375,-0.978515625,0.00017425718422027888,0.14413846656680107,11.249600410461426,0.109375,0,0,1.2304250448942184,0,0,0,0,0.140625,,
0.2685800000000745,,,,,-0.103515625,-0.03125,-0.94921875,0.0004168829296869226,0.14616409316658974,11.25,0.0712890625,0,0,0.802001953125,0,0,0,0,0.14453125,,
0.29995499999821185,,,,,-0.103515625,0.00390625,-0.994140625,0.0001639933451635635,0.14431891031563282,11.253090858459473,-0.057705964893102646,0,0,0.6493704660171566,0,0,0,0,0.146484375,,
0.33223000000044706,,,,,-0.080078125,-0.017578125,-0.98828125,0.00022363765991718744,0.14505349099636078,11.253199577331543,-0.046875,0,0,0.5274937301874161,0,0,0,0,0.14453125,,
0.3707199999988079,,,,,-0.087890625,0,-0.970703125,0.0007306142768538557,0.14574965462088585,11.25527286529541,-0.05415482819080353,0,0,0.6095273682606859,0,0,0,0,0.142578125,,
0.400679999999702,,,,,-0.0703125,-0.01171875,-0.986328125,0.0006042835244641174,0.14550751075148582,11.253844261169434,-0.042067307978868484,0,0,0.4734189324808362,0,0,0,0,0.142578125,,
0.434054999999702,,,,,-0.087890625,-0.01171875,-0.970703125,0.0002561398169301195,0.1434966252418235,11.254399299621582,-0.044921875,0,0,0.5055687185376883,0,0,0,0,0.140625,,
0.46235500000044705,,,,,-0.080078125,-0.005859375,-0.990234375,0.00011723584499043758,0.14263438060879707,11.254544258117676,-0.047940339893102646,0,0,0.5395466770761281,0,0,0,0,0.140625,,
0.4935049999989569,,,,,-0.0859375,-0.005859375,-0.986328125,0.0005164992010021327,0.14305968943517655,11.255200386047363,-0.056640625,0,0,0.6375015843659639,0,0,0,0,0.140625,,
0.5292300000004471,,,,,-0.080078125,-0.013671875,-0.9921875,0.0002226112593060487,0.14519901014864445,11.25520133972168,-0.0556640625,0,0,0.6265102308243513,0,0,0,0,0.138671875,,
0.562730000000447,,,,,-0.080078125,-0.015625,-0.966796875,0.00028259770202822987,0.144579287734814,11.25538444519043,-0.05033052712678909,0,0,0.5664894321410969,0,0,0,0,0.13671875,,
0.5949949999991805,,,,,-0.087890625,-0.001953125,-0.982421875,0.000560519635663133,0.1452777796657756,11.254544258117676,-0.048828125,0,0,0.5495382938534021,0,0,0,0,0.13671875,,
0.626269999999553,,,,,-0.08203125,-0.005859375,-0.96875,0.00036921310218553354,0.144540099427104,11.25520133972168,-0.0517578125,0,0,0.5825446005910635,0,0,0,0,0.134765625,,
0.6690099999997765,,,,,-0.080078125,-0.01171875,-0.978515625,0.00032120113001012004,0.14269647363107651,11.254907608032227,-0.047940339893102646,0,0,0.5395640961945318,0,0,0,0,0.1328125,,
0.699839999999851,,,,,-0.0859375,0.005859375,-0.986328125,0.0004478455108413472,0.14459947124123573,11.255998611450195,-0.0579427070915699,0,0,0.6522030305663762,0,0,0,0,0.1328125,,
0.7241500000003726,,,,,-0.087890625,-0.00390625,-0.95703125,0.00032775859387777746,0.14411751180887222,11.255999565124512,-0.05859375,0,0,0.6595312245190144,0,0,0,0,0.130859375,,
0.7625999999996275,,,,,-0.099609375,0,-0.966796875,0.0002507798009524122,0.14425371773540974,11.256999969482422,-0.057373046875,0,0,0.6458483869209886,0,0,0,0,0.130859375,,
0.809660000000149,,,,,-0.0625,-0.005859375,-0.986328125,0.0003271883945180715,0.14362701040226966,11.254461288452148,-0.05483774095773697,0,0,0.6171692327550176,0,0,0,0,0.130859375,,
0.843644999999553,,,,,-0.095703125,0,-0.96875,0.00008094178079630833,0.1429192052455619,11.254748344421387,-0.050048828125,0,0,0.5632869654800743,0,0,0,0,0.12890625,,
0.8825350000001491,,,,,-0.09765625,0.005859375,-0.9921875,0.00016764270041665089,0.14348111290019006,11.25566577911377,-0.0520833320915699,0,0,0.5862325786853013,0,0,0,0,0.12890625,,
0.9145999999996275,,,,,-0.0859375,0.001953125,-0.98046875,0.00028487856628892246,0.14313263818621635,11.256307601928711,-0.05634014308452606,0,0,0.634181980896102,0,0,0,0,0.12890625,,
0.9551400000005961,,,,,-0.09375,0.009765625,-0.98046875,0.0002524334083301271,0.14221994206309319,11.256728172302246,-0.05504261329770088,0,0,0.6195997357853678,0,0,0,0,0.12890625,,
0.997769999999553,,,,,-0.08984375,0,-0.97265625,0.00014551843486147585,0.14290834951680154,11.256856918334961,-0.0516183041036129,0,0,0.5810598636614728,0,0,0,0,0.12890625,,
1.0797900000009686,,,,,-0.076171875,-0.001953125,-0.990234375,0.0004852514742278201,0.14083751011639833,11.256856918334961,-0.0558035708963871,0,0,0.6281728131127906,0,0,0,0,0.12890625,,
1.1151500000003725,,,,,-0.080078125,-0.0078125,-0.978515625,0.00021119070864118627,0.1418419851688668,11.25500202178955,-0.0498744435608387,0,0,0.5613369631128684,0,0,0,0,0.126953125,,
1.139239999998361,,,,,-0.087890625,-0.009765625,-0.970703125,0.00036978330154523946,0.14325371012091637,11.253998756408691,-0.05859375,0,0,0.6594139896333218,0,0,0,0,0.126953125,,
1.188730000000447,,,,,-0.0859375,0,-0.96875,0.00021331678839540112,0.14236895367503166,11.254999160766602,-0.05859375,0,0,0.6594726070761681,0,0,0,0,0.125,,
1.2180999999996274,,,,,-0.0859375,-0.00390625,-0.974609375,0.0002895257933915127,0.14359131455421448,11.255293846130371,-0.05572150647640228,0,0,0.6271619289409642,0,0,0,0,0.125,,
1.2444349999986588,,,,,-0.09375,-0.0078125,-0.97265625,0.0006738780498329678,0.14377175830304623,11.256401062011719,-0.052734375,0,0,0.5935992747545242,0,0,0,0,0.123046875,,
1.278964999999851,,,,,-0.07421875,-0.001953125,-0.99609375,0.0006869929608628154,0.1429370604455471,11.256889343261719,-0.0455729179084301,0,0,0.5130092939447479,0,0,0,0,0.123046875,,
1.3057549999989568,,,,,-0.0703125,-0.021484375,-0.9609375,-0.000022238317956216633,0.14432550233323127,11.25766658782959,-0.0520833320915699,0,0,0.5863367874700991,0,0,0,0,0.123046875,,
1.3409500000011176,,,,,-0.09375,-0.001953125,-0.990234375,0.00021194827652117236,0.1443806104362011,11.258501052856445,-0.05615234375,0,0,0.632191221229732,0,0,0,0,0.12109375,,
1.374425000000745,,,,,-0.09765625,0.013671875,-0.986328125,0.000673079779082113,0.14296267181634903,11.25692367553711,-0.051832932978868484,0,0,0.5834793704223529,0,0,0,0,0.123046875,,
1.40425,,,,,-0.080078125,-0.00390625,-0.98828125,0.0003727484217430465,0.1430317497579381,11.256362915039062,-0.051491476595401764,0,0,0.5796067475890823,0,0,0,0,0.123046875,,
1.4378300000000745,,,,,-0.09375,0,-0.970703125,0.0007374568362249992,0.14170771464705467,11.255200386047363,-0.0625,0,0,0.7034500241279602,0,0,0,0,0.12109375,,
1.4691499999985098,,,,,-0.087890625,0,-0.982421875,0.0005744328592075035,0.14072749763727188,11.256400108337402,-0.0537109375,0,0,0.6045918026939034,0,0,0,0,0.12109375,,
1.5008549999985843,,,,,-0.072265625,-0.00390625,-0.978515625,0.0005311536711850204,0.14058779925107956,11.257819175720215,-0.04705255851149559,0,0,0.5297091954774125,0,0,0,0,0.12109375,,
1.5276550000011921,,,,,-0.087890625,-0.0078125,-0.9765625,0.00039242077993508433,0.14184897008817643,11.258545875549316,-0.046164773404598236,0,0,0.5197482192100082,0,0,0,0,0.12109375,,
1.5526749999988825,,,,,-0.0859375,0,-0.994140625,0.00047111021270323546,0.14256220310926437,11.256888389587402,-0.0466579869389534,0,0,0.5252237514546252,0,0,0,0,0.12109375,,
1.5824049999993295,,,,,-0.09375,-0.0078125,-0.984375,0.00046803106098622084,0.14229677617549896,11.256500244140625,-0.057373046875,0,0,0.645819716155529,0,0,0,0,0.12109375,,
1.614054999999702,,,,,-0.0859375,-0.017578125,-0.96875,0.0003952718435554829,0.14235149137675762,11.255599975585938,-0.056640625,0,0,0.6375242173671722,0,0,0,0,0.12109375,,
1.6441199999991805,,,,,-0.09765625,0.01171875,-0.9765625,0.000280887062185444,0.14287031081039459,11.255270957946777,-0.055930398404598236,0,0,0.6295117888296673,0,0,0,0,0.12109375,,
1.673359999999404,,,,,-0.072265625,-0.021484375,-0.9609375,0.00038107354121309355,0.14358549378812313,11.256800651550293,-0.0537109375,0,0,0.6046133162453771,0,0,0,0,0.12109375,,
1.7072599999997764,,,,,-0.103515625,0.01171875,-0.990234375,0.0005304694152479059,0.14281366020441055,11.256401062011719,-0.0478515625,0,0,0.5386363789439201,0,0,0,0,0.12109375,,
1.7354550000000746,,,,,-0.080078125,-0.005859375,-0.98828125,0.00041397484195418655,0.14308607205748558,11.256728172302246,-0.057705964893102646,0,0,0.6495803607220729,0,0,0,0,0.12109375,,
1.763054999999702,,,,,-0.0625,-0.025390625,-0.96875,0.0004047373868031427,0.14391494914889336,11.25733470916748,-0.05859375,0,0,0.6596094556152821,0,0,0,0,0.119140625,,
